char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
簿	19	1358	N1	junior high	bamboo 竹 (⺮)	丶 十 寸 汁 田 竹 乞	register, record book		ボ		{簿記:ボキ} journalization (accounts), journalisation, bookkeeping<br/>{簿外:ボガイ} unaccounted, off the books<br/>{出納簿:スイトウボ} cashbook<br/>{乗客名簿:ジョウキャクメイボ} list of passengers, passenger manifest, passenger register	{簿:ぼ}{記:き}<br/>{簿:ぼ}{外:がい}<br/>{簿:ぼ}{価:か}<br/>{簿:ぼ}{価:か}{会:かい}{計:けい}
炉	8	1359	N1	junior high	fire 火 (灬)	一 尸 戸 火	hearth, furnace, kiln, reactor	いろり	ロ		{炉:ロ} hearth, fireplace, furnace, kiln<br/>{炉心:ロシン} nuclear reactor core<br/>{原子炉:ゲンシロ} atomic reactor, nuclear reactor<br/>{高炉:コウロ} blast furnace	{炉:ろ}<br/>{炉:ろ}{辺:へん}<br/>{炉:ろ}{心:しん}<br/>{炉:ろ}{心:しん}{溶:よう}{融:ゆう}<br/>{炉:ろ}{辺:へん}{談:だん}{話:わ}<br/>{炉:ろ}{開:びら}き<br/>{炉:ろ}{塞:ふさ}ぎ<br/>{炉:ろ}{壁:へき}<br/>{炉:ろ}{棚:だな}<br/>{炉:ろ}{火:か}<br/>{炉:ろ}{床:しょう}<br/>{炉:ろ}{端:ばた}<br/>{炉:ろ}{端:ばた}{焼:や}き<br/>{炉:ろ}を{囲:かこ}む<br/>{炉:ろ}{冷:れい}
牧	8	1360	N1	grade 4	cow 牛 (牜)	攵 牛 乞	breed, care for, shepherd, feed, pasture	まき	ボク	{牧:まき} pasture, grazing land<br/>{牧場:ぼくじょう} farm (livestock), ranch (US), station (Aus, NZ), pasture land, meadow, grazing land	{牧場:ボクジョウ} farm (livestock), ranch (US), station (Aus, NZ), pasture land, meadow, grazing land<br/>{牧師:ボクシ} pastor, minister, clergyman, reverend<br/>{遊牧:ユウボク} nomadism<br/>{移牧:イボク} transhumance, moving stock between pastures according to season	{牧:まき}<br/>{牧:ぼく}<br/>{牧:ぼく}{場:じょう}<br/>{牧:ぼく}{師:し}<br/>{牧:ぼく}{草:そう}<br/>{牧:ぼく}{畜:ちく}<br/>{牧:ぼく}{羊:よう}{犬:けん}<br/>{牧:ぼく}{草:そう}{地:ち}<br/>{牧:ぼく}{童:どう}<br/>{牧歌的:ぼっかてき}<br/>{牧:ぼく}{舎:しゃ}<br/>{牧:ぼく}{師:し}{館:かん}<br/>{牧場田雲雀:まきばたひばり}<br/>{牧:ぼく}{民:みん}<br/>{牧:ぼく}{地:ち}<br/>{牧:ぼく}{牛:ぎゅう}<br/>{牧:ぼく}{人:じん}<br/>{牧:ぼく}{神:しん}<br/>{牧:ぼく}{畜:ちく}{業:ぎょう}<br/>{牧歌:ぼっか}
殊	10	1361	N1	junior high	death, decay 歹 (歺)	｜ ノ 二 ハ 木 歹 牛	particularly, especially, exceptionally	こと	シュ	{異:こと} difference (from one another), different thing, other, unusual, extraordinary<br/>{殊に:ことに} especially, particularly, unusually, above all, additionally	{殊勲:シュクン} distinguished services, meritorious deeds<br/>{殊勝:シュショウ} admirable, laudable	{殊:こと}に<br/>{殊:しゅ}{勲:くん}<br/>{殊:しゅ}{勝:しょう}<br/>{殊:こと}の{外:ほか}<br/>{殊:しゅ}{勲:くん}{賞:しょう}<br/>{殊:しゅ}{功:こう}<br/>{殊:こと}{更:さら}<br/>{殊:しゅ}{遇:ぐう}<br/>{殊:こと}{更:さら}めく<br/>{殊勲十字章 (アメリカ合衆国):}
殖	12	1362	N1	junior high	death, decay 歹 (歺)	十 歹 目	augment, increase, multiply, raise	ふ.える, ふ.やす	ショク	{増える:ふえる} to increase, to multiply<br/>{増やす:ふやす} to increase, to add to, to augment	{植民地:ショクミンチ} colony, colonial<br/>{植民:ショクミン} colonization, colonisation<br/>{増殖:ゾウショク} increase, multiplication, propagation, proliferation<br/>{生殖:セイショク} reproduction	{殖:しょく}{産:さん}<br/>{殖:しょく}{財:ざい}<br/>{殖:しょく}{産:さん}{興:こう}{業:ぎょう}
艦	21	1363	N1	junior high	boat 舟	二 皿 舟 臣 乞	warship		カン		{艦:カン} warship<br/>{艦船:カンセン} (ocean) vessels, warship<br/>{駆逐艦:クチクカン} destroyer (ship)<br/>{巡洋艦:ジュンヨウカン} cruiser	{艦:かん}<br/>{艦:かん}{隊:たい}<br/>{艦:かん}{載:さい}{機:き}<br/>{艦:かん}{艇:てい}<br/>{艦:かん}{船:せん}<br/>{艦:かん}{長:ちょう}<br/>{艦:かん}{砲:ぽう}<br/>{艦:かん}{砲:ぽう}{射:しゃ}{撃:げき}<br/>{艦:かん}{上:じょう}<br/>{艦:かん}{載:さい}<br/>{艦:かん}{齢:れい}<br/>{艦:かん}{名:めい}<br/>{艦:かん}{橋:きょう}<br/>{艦:かん}{上:じょう}{機:き}<br/>{艦:かん}{型:けい}<br/>{艦:かん}{種:しゅ}<br/>{艦:かん}{首:しゅ}<br/>{艦:かん}{尾:び}<br/>{艦:かん}{攻:こう}<br/>{艦:かん}{上:じょう}{攻:こう}{撃:げき}{機:き}
溶	13	1364	N2	junior high	water 水 (氵, 氺)	个 ハ 口 宀 汁 穴 谷	melt, dissolve, thaw	と.ける, と.かす, と.く	ヨウ	{溶ける:とける} to melt, to thaw, to fuse, to dissolve<br/>{溶かす:とかす} to dissolve, to melt<br/>{溶く:とく} to dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)	{溶岩:ヨウガン} lava<br/>{溶液:ヨウエキ} solution (liquid)<br/>{溶溶:ヨウヨウ} vast, overflowing with water, spacious<br/>{可溶:カヨウ} soluble, solubilizing, solubilising	{溶:よう}{岩:がん}<br/>{溶:よう}{液:えき}<br/>{溶:と}ける<br/>{溶:と}け{込:こ}む<br/>{溶:と}かす<br/>{溶:よう}{解:かい}<br/>{溶:よう}{剤:ざい}<br/>{溶:と}け{合:あ}う<br/>{溶:と}く<br/>{溶:よう}{接:せつ}<br/>{溶:よう}{媒:ばい}<br/>{溶:よう}{融:ゆう}<br/>{溶:よう}{鉱:こう}{炉:ろ}<br/>{溶:よう}{血:けつ}<br/>{溶:よう}{血:けつ}{性:せい}{尿:にょう}{毒:どく}{症:しょう}{症:しょう}{候:こう}{群:ぐん}<br/>{溶:よう}{菌:きん}<br/>{溶:よう}{岩:がん}{洞:どう}<br/>{溶:よう}{血:けつ}{性:せい}{貧:ひん}{血:けつ}<br/>{溶:よう}{岩:がん}{台:だい}{地:ち}
輩	15	1365	N1	junior high	cart, car 車	車 非	comrade, fellow, people, companions	-ばら, やから, やかい, ともがら	ハイ	{輩:やから} party (of people), set (of people), clan, family, fellow<br/>{不逞の輩:ふていのやから} lawless people, gang, malcontents, recalcitrants<br/>{輩:ともがら} comrade, fellow	{輩:ハイ} group, gang, bunch<br/>{輩出:ハイシュツ} producing (people) in great numbers, appearing one after the other<br/>{軽輩:ケイハイ} underling<br/>{儕輩:サイハイ} colleagues, fellows	{輩:ともがら}<br/>{輩:やから}<br/>{輩:ばら}<br/>{輩:はい}<br/>{輩:はい}{出:しゅつ}
穴	5	1366	N1	grade 6	cave 穴	儿 ハ 宀 穴	hole, aperture, slit, cave, den	あな	ケツ	{穴:あな} hole, opening, perforation, pit, hollow, hole (in the ground, etc.), burrow, den, lair, holt, hole, deficit, shortage, missing person (in a team, meeting, etc.), vacancy, opening, flaw, well-kept secret place, upset victory (with a large payoff), pit (of a theater), hiding place, hideout, underbelly (of society, etc.)<br/>{穴埋め:あなうめ} filling (up) a hole, filling in (for a gap, vacancy, etc.), stopgap, filler (e.g. article), making up (for a loss, damage, etc.), covering (a deficit), compensation, cloze deletion (test format)<br/>{風穴:かざあな} air hole, windhole, ventilator<br/>{横穴:よこあな} cave, tunnel, tunnel tomb (Kofun period)	{穴:ケツ} ass, arse, buttocks, rear, end, acupuncture point, hole, notch<br/>{穴隙:ケツゲキ} crevice, aperture<br/>{横穴:ヨコアナ} cave, tunnel, tunnel tomb (Kofun period)<br/>{経穴:ケイケツ} acupuncture point	{穴:あな}<br/>{穴:けつ}<br/>{穴:あな}{熊:ぐま}<br/>{穴:あな}{埋:う}め<br/>{穴:あな}{場:ば}<br/>{穴:あな}を{開:あ}ける<br/>{穴:あな}が{開:あ}く<br/>{穴:あな}があったら{入:はい}りたい<br/>{穴:あな}を{埋:う}める<br/>{穴:あな}{燕:つばめ}<br/>{穴:あな}{掘:ほり}{梟:ふくろう}<br/>{穴:あな}{兎:うさぎ}<br/>{穴:あな}じゃくし<br/>{穴:あな}だらけ<br/>{穴:あな}あけ<br/>{穴:あな}ぼこ<br/>{穴:あな}あき<br/>{穴:あな}の{開:あ}くほど<br/>{穴:あな}{兄:きょう}{弟:だい}<br/>{穴:あな}{開:あ}け{器:き}
奇	8	1367	N1	junior high	big, very 大	一 亅 口 大	strange, strangeness, curiosity	く.しき, あや.しい, くし, めずら.しい	キ	{奇しき:くしき} strange, mysterious, queer<br/>{奇しき:くしき} strange, mysterious, queer<br/>{奇しくも:くしくも} strangely, oddly, miraculously, mysteriously	{奇:キ} strange, unconventional<br/>{奇異:キイ} odd, strange, queer, peculiar<br/>{物好き:モノズキ} (idle) curiosity, fancifulness, whimsy, (having) strange tastes<br/>{怪奇:カイキ} bizarre, strange, weird, mysterious, grotesque	{奇:き}<br/>{奇:き}{妙:みょう}<br/>{奇:き}{数:すう}<br/>{奇:き}{跡:せき}<br/>{奇:き}{抜:ばつ}<br/>{奇:き}{異:い}<br/>{奇:き}{想:そう}{天:てん}{外:がい}<br/>{奇:き}{怪:かい}<br/>{奇:き}{行:こう}<br/>{奇:き}{術:じゅつ}{師:し}<br/>{奇:く}しくも<br/>{奇:き}{襲:しゅう}{攻:こう}{撃:げき}<br/>{奇:き}{声:せい}<br/>{奇:き}なる
慢	14	1368	N1	junior high	heart 心 (忄, ⺗)	又 忙 日 買	ridicule, laziness		マン		{慢性的:マンセイテキ} chronic<br/>{慢性:マンセイ} chronic (illness)<br/>{職務怠慢:ショクムタイマン} neglect (dereliction) of duty, negligence<br/>{暴慢:ボウマン} ill-mannered, overbearing	{慢:まん}{性:せい}<br/>{慢:まん}{性:せい}{的:てき}<br/>{慢:まん}{心:しん}<br/>{慢性骨髄性白血病:まんせいこつずいせいはっけつびょう}<br/>{慢:まん}{性:せい}{疲:ひ}{労:ろう}{症:しょう}{候:こう}{群:ぐん}<br/>{慢:まん}{性:せい}{閉:へい}{塞:そく}{性:せい}{肺:はい}{疾:しっ}{患:かん}<br/>{慢:まん}{性:せい}{病:びょう}<br/>{慢:まん}{性:せい}{肝:かん}{炎:えん}<br/>{慢慢的:マンマンデ}<br/>{慢:まん}{性:せい}{気:き}{管:かん}{支:し}{炎:えん}<br/>{慢:まん}{性:せい}{閉:へい}{塞:そく}{性:せい}{呼:こ}{吸:きゅう}{器:き}{疾:しっ}{患:かん}<br/>{慢:まん}{性:せい}{中:ちゅう}{毒:どく}<br/>{慢:まん}{性:せい}{疾:しっ}{患:かん}<br/>{慢:まん}{性:せい}{期:き}<br/>{慢:まん}ずる<br/>{慢:まん}{性:せい}{化:か}<br/>{慢:まん}{性:せい}{関:かん}{節:せつ}リウマチ<br/>{慢:まん}じる<br/>{慢性原発性副腎皮質機能低下症:}<br/>{慢性好中球性白血病:}
鶴	21	1369	N1	junior high	bird 鳥	冖 宀 杰 隹 鳥	crane, stork	つる	カク	{鶴:つる} crane (any bird of the family Gruidae, esp. the red-crowned crane, Grus japonensis)<br/>{ツル科:ツルか} Gruidae, bird family comprising the cranes<br/>{掃き溜めに鶴:はきだめにつる} a jewel in a dunghill<br/>{焼け野の雉夜の鶴:やけののきぎすよるのつる} parents may risk life and limb for their children (like a pheasant when the plains are burning or a crane on a cold night)	{鶴首:カクシュ} looking forward to<br/>{鶴首して待つ:カクシュシテマツ} to wait expectantly, to be full of anticipation, to long for<br/>{鶏群の一鶴:ケイグンノイッカク} a swan among ducklings, a diamond among stones, a great figure among the common run of men<br/>{鶏群一鶴:ケイグンイッカク} a swan among ducklings, a diamond among stones, a great figure among the common run of men	{鶴:つる}<br/>{鶴:かく}{首:しゅ}<br/>{鶴:つる}の{子:こ}{餅:もち}<br/>{鶴:つる}{嘴:はし}<br/>{鶴:つる}の{一:ひと}{声:こえ}<br/>{鶴:つる}{亀:かめ}{算:ざん}<br/>{鶴:つる}{来:きた}る<br/>{鶴:つる}{亀:かめ}<br/>{鶴岡工業高等専門学校:つるおかこうぎょうこうとうせんもんがっこう}<br/>{鶴:かく}{首:しゅ}して{待:ま}つ<br/>{鶴:つる}{亀:かめ}{鶴:つる}{亀:かめ}<br/>{鶴:つる}{首:くび}<br/>{鶴:つる}は{千:せん}{年:ねん}{亀:かめ}は{万:まん}{年:ねん}<br/>{鶴:つる}{田:だ}ダム<br/>{鶴:つる}{島:のしま}<br/>{鶴亀 (山田耕筰):}
謀	16	1370	N1	junior high	speech 言 (訁)	木 甘 言	conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive	はか.る, たばか.る, はかりごと	ボウ, ム	{図る:はかる} to plan, to attempt, to devise, to plot, to conspire, to scheme, to aim for, to strive for, to work towards, to seek, to deceive, to trick, to take in<br/>{謀る:たばかる} to work out a plan of deception, to scheme, to take in, to dupe, to deceive, to think up a plan, to think over a plan, to discuss, to consult<br/>{謀:はかりごと} plan, strategy	{謀反:ムホン} rebellion, uprising, insurrection, treason<br/>{謀議:ボウギ} plot, conspiracy, conference<br/>{無謀:ムボウ} reckless, thoughtless, rash, ill-advised, impulsive, mad (e.g. scheme)<br/>{共謀:キョウボウ} conspiracy, collusion, complicity<br/>{謀反:ムホン} rebellion, uprising, insurrection, treason<br/>{謀反:ムヘン} plotting to overthrow the government (by assassinating the emperor)	{謀:はかりごと}<br/>{謀:ぼう}{議:ぎ}<br/>{謀:ぼう}{略:りゃく}<br/>{謀:ぼう}{大:たい}{逆:ぎゃく}<br/>{謀:ぼう}{書:しょ}<br/>{謀:ぼう}{殺:さつ}<br/>{謀略論:いんりゃくろん}<br/>{謀:たばか}る<br/>{謀:ぼう}{臣:しん}<br/>{謀:む}{反:ほん}{人:にん}<br/>{謀:ぼう}{計:けい}<br/>{謀:む}{反:ほん}<br/>{謀:ぼう}{将:しょう}<br/>{謀:む}{反:へん}
暖	13	1371	N1	grade 6	sun, day 日	一 ノ 又 日 爪	warmth	あたた.か, あたた.かい, あたた.まる, あたた.める	ダン, ノン	{暖か:あたたか} warm, mild, genial<br/>{暖かい:あたたかい} warm, mild, (pleasantly) hot, considerate, kind, genial, warm (of a colour), mellow, having enough money<br/>{暖かい:あたたかい} warm, mild, (pleasantly) hot, considerate, kind, genial, warm (of a colour), mellow, having enough money<br/>{暖かい色:あたたかいいろ} warm color, warm colour<br/>{温まる:あたたまる} to warm oneself, to sun oneself, to warm up, to get warm<br/>{温める:あたためる} to warm, to heat	{暖:ダン} warming, warmth<br/>{暖冬:ダントウ} mild winter, warm winter<br/>{寒暖:カンダン} cold and heat, (degree of) temperature<br/>{床暖:ユカダン} underfloor heating<br/>{呑気:ノンキ} carefree, optimistic, careless, reckless, heedless, happy-go-lucky, easygoing, thoughtless<br/>{暖簾:ノレン} (short) curtain hung at shop entrance, split curtain used to divide spaces in a house, reputation (of a store), good name, credit, goodwill	{暖:だん}<br/>{暖:あたた}かい<br/>{暖:だん}{房:ぼう}<br/>{暖:だん}{炉:ろ}<br/>{暖:だん}{冬:とう}<br/>{暖:だん}{流:りゅう}<br/>{暖:あたた}か<br/>{暖:だん}{房:ぼう}{器:き}{具:ぐ}<br/>{暖:だん}{房:ぼう}{機:き}<br/>{暖簾:のれん}<br/>{暖:だん}{地:ち}<br/>{暖:だん}{気:き}<br/>{暖:だん}{竹:ちく}<br/>{暖:あたた}かい{人:ひと}<br/>{暖:あたた}かさ<br/>{暖:あたた}かみ
昌	8	1372	N1		sun, day 日	日	prosperous, bright, clear	さかん	ショウ		{昌運:ショウウン} prosperity, fortune<br/>{昌泰:ショウタイ} Shōtai era (898.4.26-901.7.15)<br/>{隆昌:リュウショウ} prosperity	{昌:しょう}{泰:たい}<br/>{昌:しょう}{平:へい}<br/>{昌:しょう}{運:うん}<br/>{昌原LGセイカーズ:}<br/>{昌原サッカーセンター:}
拍	8	1373	N1	junior high	hand 手 (扌龵)	扎 白	clap, beat (music)		ハク, ヒョウ		{拍:ハク} beat, mora<br/>{拍車:ハクシャ} (riding) spur<br/>{強拍:キョウハク} accented beat<br/>{弱拍:ジャクハク} unaccented beat<br/>{拍子:ヒョウシ} (musical) time, tempo, beat, rhythm, the moment, the instance, chance<br/>{拍子抜け:ヒョウシヌケ} anticlimax, let-down, disappointment, loss of interest	{拍:はく}<br/>{拍:はく}{手:しゅ}<br/>{拍:はく}{車:しゃ}<br/>{拍:ひょう}{子:し}{木:ぎ}<br/>{拍:はく}{手:しゅ}{喝:かっ}{采:さい}<br/>{拍:ひょう}{子:し}<br/>{拍:ひょう}{子:し}{抜:ぬ}け<br/>{拍:はく}{車:しゃ}を{掛:か}ける<br/>{拍:はく}{動:どう}<br/>{拍:はく}{出:しゅつ}<br/>{拍:はく}{数:すう}<br/>{拍:ひょう}{子:し}{記:き}{号:ごう}<br/>{拍:はく}{車:しゃ}がかかる<br/>{拍:か}{手:しわで}を{打:う}つ<br/>{拍:はく}{手:しゅ}を{送:おく}る<br/>{拍:はく}{板:はん}
朗	10	1374	N1	grade 6	moon, month 月	月 艮	melodious, clear, bright, serene, cheerful	ほが.らか, あき.らか	ロウ	{朗らか:ほがらか} cheerful, merry, sunny, melodious, bright (sky, day, etc.), fine, clear	{朗報:ロウホウ} good news<br/>{朗読:ロウドク} reading aloud, recitation<br/>{晃朗:コウロウ} bright and brilliant<br/>{融朗:ユウロウ} brightness, clearness	{朗:ほが}らか<br/>{朗:ろう}{読:どく}<br/>{朗:ろう}{報:ほう}<br/>{朗:ろう}{詠:えい}<br/>{朗:ろう}{唱:しょう}<br/>{朗:ろう}{読:どく}{会:かい}<br/>{朗:ろう}{々:ろう}<br/>{朗:ろう}{吟:ぎん}<br/>{朗:ろう}{読:どく}ＣＤ
丈	3	1375		junior high	one 一	一 丶 ノ	length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely	たけ, だけ	ジョウ	{丈:たけ} height, stature, length (esp. of clothing), all (one has), everything, magnificence (of a waka poem, etc.)<br/>{丈比べ:たけくらべ} comparison of statures<br/>{草丈:くさたけ} rice plant's height<br/>{着丈:きたけ} dress length<br/>{丈:だけ} only, just, merely, simply, no more than, nothing but, alone, as much as, to the extent of, enough to<br/>{丈に:だけに} given that ... it is only natural that ..., ... being the case, it is unavoidable that ..., (precisely) because ..., as might be expected (from ...), contrary to expectations ...<br/>{何れ丈:どれだけ} how long, how much, to what extent<br/>{一度だけ:いちどだけ} only once	{丈:ジョウ} 3.03 meters (ten shaku), length, measure, Mr., Mrs.<br/>{丈夫:ジョウブ} healthy, robust, strong, solid, durable<br/>{気丈:キジョウ} stout-hearted, firm, courageous, brave, tough<br/>{方丈:ホウジョウ} square jo (approx. 10 sq feet), abbot's chamber, chief priest	{丈:たけ}<br/>{丈:だけ}<br/>{丈:じょう}<br/>{丈:じょう}{夫:ぶ}<br/>{丈:だけ}に<br/>{丈:じょう}{夫:ふ}<br/>{丈:じょう}{母:ぼ}<br/>{丈:たけ}{比:くら}べ<br/>{丈:じょう}{余:よ}<br/>{丈:たけ}{長:なが}<br/>{丈:じょう}{六:ろく}<br/>{丈:たけ}を{詰:つ}める<br/>{丈:じょう}{人:じん}
鉱	13	1376	N2	grade 5	metal, gold 金 (釒)	厶 广 金	mineral, ore	あらがね	コウ	{粗金:あらがね} ore	{鉱区:コウク} mining area, mine lot<br/>{鉱業:コウギョウ} mining industry<br/>{廃坑:ハイコウ} abandoned mine, disused mine<br/>{採鉱:サイコウ} mining	{鉱:こう}{物:ぶつ}<br/>{鉱:こう}{山:ざん}<br/>{鉱:こう}{業:ぎょう}<br/>{鉱:こう}{物:ぶつ}{資:し}{源:げん}<br/>{鉱:こう}{産:さん}{物:ぶつ}<br/>{鉱:こう}{石:せき}<br/>{鉱:こう}{床:しょう}<br/>{鉱:こう}{区:く}<br/>{鉱:こう}{脈:みゃく}<br/>{鉱:こう}{毒:どく}<br/>{鉱:こう}{石:せき}{検:けん}{波:ぱ}{器:き}<br/>{鉱:こう}{床:しょう}{学:がく}<br/>{鉱:こう}{物:ぶつ}{学:がく}<br/>{鉱:こう}{体:たい}<br/>{鉱:こう}{工:こう}{業:ぎょう}<br/>{鉱:こう}{害:がい}<br/>{鉱:こう}{工:こう}{業:ぎょう}{生:せい}{産:さん}{指:し}{数:すう}<br/>{鉱:こう}{柱:ちゅう}
寛	13	1377	N1	junior high	roof 宀	宀 艾 見	tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded	くつろ.ぐ, ひろ.い, ゆる.やか	カン	{寛ぐ:くつろぐ} to relax, to feel at home<br/>{寛い:ひろい} broadminded	{寛:カン} lenient, gentle<br/>{寛大:カンダイ} tolerant, generous, lenient, broad-minded, magnanimous<br/>{長寛:チョウカン} Chōkan era (1163.3.29-1165.6.5)<br/>{寛緩:カンカン} looking cool and collect, with an air of perfect composure	{寛:かん}<br/>{寛:ゆた}<br/>{寛:かん}{容:よう}<br/>{寛:かん}{大:だい}<br/>{寛:くつろ}ぐ<br/>{寛:くつろ}げる<br/>{寛:くつろ}ぎ<br/>{寛:かん}{恕:じょ}<br/>{寛:かん}{喜:ぎ}<br/>{寛:かん}{正:しょう}<br/>{寛:かん}{徳:とく}<br/>{寛:かん}{永:えい}<br/>{寛:かん}{政:せい}<br/>{寛:かん}{弘:こう}<br/>{寛:かん}{保:ぽう}<br/>{寛:かん}{元:げん}<br/>{寛:かん}{治:じ}<br/>{寛:かん}{政:せい}の{改:かい}{革:かく}<br/>{寛:かん}{仁:じん}<br/>{寛:かん}{仁:じん}{大:たい}{度:ど}
覆	18	1378	N1	junior high	west 西 (襾, 覀)	夂 彳 日 西 乞	capsize, cover, shade, mantle, be ruined	おお.う, くつがえ.す, くつがえ.る	フク	{覆う:おおう} to cover, to hide, to conceal, to wrap, to disguise<br/>{覆す:くつがえす} to overturn, to capsize, to upset, to overthrow (government etc.), to reverse (decision etc.), to disprove (an established theory etc.), to overrule<br/>{覆る:くつがえる} to topple over, to be overturned, to capsize, to be overruled, to be reversed, to be discredited	{覆面:フクメン} mask, veil, disguise, anonymous, unmarked, incognito<br/>{覆土:フクド} covering seeds with soil<br/>{被覆:ヒフク} coating, covering, cover<br/>{傾覆:ケイフク} turning upside down	{覆:おお}う<br/>{覆:くつがえ}す<br/>{覆:ふく}{面:めん}<br/>{覆:おお}い<br/>{覆:くつがえ}る<br/>{覆:ふく}{土:ど}<br/>{覆:おお}い{被:かぶ}せる<br/>{覆:おお}い{被:かぶ}さる<br/>{覆:ふく}{水:すい}{盆:ぼん}に{返:かえ}らず<br/>{覆:ふく}{輪:りん}<br/>{覆:ふく}{滅:めつ}<br/>{覆:おお}われ<br/>{覆輪馬酔木:ふくりんあせび}<br/>{覆輪梔子:ふくりんくちなし}<br/>{覆:ふく}{面:めん}{強:ごう}{盗:とう}<br/>{覆:おお}い{尽:つ}くす<br/>{覆:ふく}{審:しん}<br/>{覆:ふく}{没:ぼつ}
胞	9	1379	N1	junior high	meat 肉 (⺼)	勹 已 月	placenta, sac, sheath		ホウ		{胞子:ホウシ} spore<br/>{胞衣:エナ} afterbirth, placenta<br/>{卵胞:ランポウ} (ovarian) follicle<br/>{肺胞:ハイホウ} pulmonary alveolus, alveoli, lung cavity, air cell	{胞:ほう}{子:し}<br/>{胞:ほう}{子:し}{体:たい}<br/>{胞:ほう}{胚:はい}<br/>{胞:ほう}{子:し}{嚢:のう}<br/>{胞:ほう}{子:し}{嚢:のう}{群:ぐん}<br/>{胞:ほう}{状:じょう}<br/>{胞:ほう}{子:し}{植:しょく}{物:ぶつ}<br/>{胞:ほう}{胚:はい}{腔:くう}<br/>{胞:ほう}{子:し}{葉:よう}<br/>{胞衣:えな}<br/>{胞:ほう}{状:じょう}{奇:き}{胎:たい}
泣	8	1380	N1	grade 4	water 水 (氵, 氺)	汁 立	cry, weep, moan	な.く	キュウ	{泣く:なく} to cry, to weep, to sob, to howl<br/>{泣く子と地頭には勝てない:なくことじとうにはかてない} you cannot win against someone who doesn't listen to reason, you can't fight City Hall	{泣訴:キュウソ} imploring with tears in one's eyes<br/>{号泣:ゴウキュウ} crying aloud, lamentation, wailing<br/>{哀泣:アイキュウ} crying with sadness	{泣:な}く<br/>{泣:な}き<br/>{泣:な}き{声:ごえ}<br/>{泣:な}き{出:だ}す<br/>{泣:な}かせる<br/>{泣:な}き{叫:さけ}ぶ<br/>{泣:な}きじゃくる<br/>{泣:なき}{寝:ね}{入:い}り<br/>{泣:な}かす<br/>{泣:な}き{喚:わめ}く<br/>{泣:な}き{面:つら}に{蜂:はち}<br/>{泣:な}き{付:つ}く<br/>{泣:な}きっ{面:つら}<br/>{泣:な}ける<br/>{泣:な}く{泣:な}く<br/>{泣:な}き{言:ごと}<br/>{泣:な}き{虫:むし}<br/>{泣:な}き{崩:くず}れる<br/>{泣:な}き{顔:がお}<br/>{泣:な}かされる
涙	10	1381	N2	junior high	water 水 (氵, 氺)	一 大 尸 汁 戸	tears, sympathy	なみだ	ルイ, レイ	{涙:なみだ} tear, tears, lachrymal secretion, sympathy<br/>{涙ぐましい:なみだぐましい} touching, moving, painful<br/>{悔し涙:くやしなみだ} tears of regret, bitter tears, vexation, chagrin<br/>{忝涙:かたじけなみだ} tears of gratitude	{涙液:ルイエキ} lacrimal fluid, tears<br/>{涙管:ルイカン} lachrymal or tear duct<br/>{催涙:サイルイ} lacrimator, dacryagogue, tear-inducing agent<br/>{感涙:カンルイ} tears (from being deeply moved), tears of gratitude	{涙:なみだ}<br/>{涙:なみだ}ぐむ<br/>{涙:なみだ}ぐましい<br/>{涙:るい}{腺:せん}<br/>{涙:なみだ}する<br/>{涙:なみだ}{混:ま}じり<br/>{涙:なみだ}{声:ごえ}<br/>{涙:なみだ}を{流:なが}す<br/>{涙:るい}{骨:こつ}<br/>{涙:るい}{器:き}<br/>{涙:なみだ}{型:がた}<br/>{涙:なみだ}{勝:が}ち<br/>{涙:るい}{嚢:のう}<br/>{涙:なみだ}{川:がわ}<br/>{涙:るい}{堂:どう}<br/>{涙:るい}{液:えき}<br/>{涙:るい}{小:しょう}{管:かん}<br/>{涙:なみだ}ながら<br/>{涙:るい}{滴:てき}{状:じょう}<br/>{涙:るい}{滴:てき}{型:がた}
